AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
689600170,141,06/20/2022,07/28/2024,Home Health Agency Exemption,CARING ARMS HOME CARE  LLC,27 HUNTERS HOLLOW CT,,JACKSONVILLE,FL,32218,Duval,(904) 440-3602,27 HUNTERS HOLLOW CT,,JACKSONVILLE,FL,32218,Duval,EXEMP CERTIFIED,CARING ARMS HOMECARE LLC,07/16/2020,,0,For-Profit,
39971904,236756,06/01/2022,05/31/2024,Homemaker and Companion Service,CARING ARMS HOMECARE LLC,27 HUNTERS HOLLOW CT,,JACKSONVILLE,FL,32218,Duval,(904) 440-3602,27 HUNTERS HOLLOW CT,,JACKSONVILLE,FL,32218,Duval,REGISTERED,CARING ARMS HOMECARE LLC,05/11/2020,TRACEY FITZGERALD,0,For-Profit,
39973298,238012,09/22/2021,09/21/2023,Homemaker and Companion Service,CARING HANDS HOMECARE LLC,5800 BEACH BLVD 1033,,JACKSONVILLE,FL,32207,Duval,(904) 487-8348,5800 BEACH BLVD 1033,,JACKSONVILLE,FL,32207,Duval,REGISTERED,CARING HANDS HOMECARE LLC,07/26/2021,SANDRA ANDERSON-JONES,0,For-Profit,
39969502,234690,04/18/2023,04/17/2025,Homemaker and Companion Service,CARING HANDS SUPPORTS & SERVICES LLC,9921 NEW KINGS RD STE 107,,JACKSONVILLE,FL,32219-2485,Duval,(904) 415-1461,PO BOX 28261,,JACKSONVILLE,FL,32226-8261,Duval,REGISTERED,CARING HANDS SUPPORTS & SERVICES LLC,12/14/2016,SHERRETA Q JOSEPH,0,For-Profit,https://caringhandssupports.com/
39969803,236902,07/29/2022,07/28/2024,Homemaker and Companion Service,CARING HEART AT HOME LLC,9424 BAYMEADOWS RD STE 250,,JACKSONVILLE,FL,32256,Duval,(904) 439-4305,9424 BAYMEADOWS RD STE 250,,JACKSONVILLE,FL,32256,Duval,REGISTERED,CARING HEART AT HOME LLC,05/30/2017,JASMINE JACKSON,0,For-Profit,Caringheartathome1.com
39974715,238935,10/26/2022,10/25/2024,Homemaker and Companion Service,CARING SENIOR SERVICE OF SOUTH DUVAL COUNTY,9850 SAN JOSE BLVD STE 3,,JACKSONVILLE,FL,32257,Duval,(813) 313-6460,9850 SAN JOSE BLVD STE 3,,JACKSONVILLE,FL,32257,Duval,REGISTERED,AGING GRACE ENTERPRISES LLC,09/19/2022,MELISSA ANGELES,0,For-Profit,
26931166,,02/09/2023,,Clinical Laboratory,CARITHERS PEDIATRICS LLC,2121 PARK ST,,JACKSONVILLE,FL,32204-3811,Duval,(904) 387-6200,3225 AVIATION AVENUE SUITE 700,,MIAMI,FL,33133,Miami-Dade,FED CERTIFIED,DRS CARITHERS THRELKEL COLYER BAKER & CHEEK PA,04/18/1994,ANDREAE A SHAW MD,0,For-Profit,www.carithersgroup.com
26971134,,02/09/2023,,Clinical Laboratory,CARITHERS PEDIATRICS LLC,7741 POINT MEADOWS DR STE 207,,JACKSONVILLE,FL,32256,Duval,(904) 997-0023,3225 AVIATION AVENUE SUITE 700,,MIAMI,FL,33133,Miami-Dade,FED CERTIFIED,DRS CARITHERS THRELKEL COLYER BAKER & CHEEK PA,10/15/1999,ANDREAE A SHAW MD,0,For-Profit,www.carithersgroup.com
27000243,,,,Clinical Laboratory,CARLOS TORRELLAS MD,4190 BELFORT RD STE 140,,JACKSONVILLE,FL,32216,Duval,(904) 296-2999,4190 BELFORT RD STE 140,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,,,0,,
26955787,,04/24/2008,,Clinical Laboratory,CARRIAGE CLUB OF JACKSONVILLE,9601 SOUTHBROOK DR,,JACKSONVILLE,FL,32256,Duval,(904) 641-7501,9601 SOUTHBROOK DR,,JACKSONVILLE,FL,32256,Duval,FED CERTIFIED,,10/24/2005,,0,For-Profit,
26997848,,,,Clinical Laboratory,CARTER HEALTHCARE,8130 BAYMEADOWS CIR W STE 107,,JACKSONVILLE,FL,32256,Duval,(904) 733-4471,8130 BAYMEADOWS CIR W STE 107,,JACKSONVILLE,FL,32256,Duval,FED CERTIFIED,,,,0,,
15620,15050,01/11/2023,01/10/2025,Health Care Clinic Exemption,CASTELLI CHIROPRACTIC CENTER,12187 BEACH BLVD,1,JACKSONVILLE,FL,32246,Duval,(904) 854-9353,12187 BEACH BLVD,1,JACKSONVILLE,FL,32246,Duval,EXEMP CERTIFIED,,01/11/2021,,0,For-Profit,
41605,1079096,06/01/2022,05/31/2024,Nursing Home,CATHEDRAL CARE,333 E ASHLEY ST,,JACKSONVILLE,FL,32202,Duval,(904) 798-5300,333 E ASHLEY ST,,JACKSONVILLE,FL,32202,Duval,LICENSED,CATHEDRAL GERONTOLOGY CENTER  INC.,05/31/2000,SHARON GAIL BROWN,120,Not-For-Profit,cathedralcarejax.com
26966785,,10/01/2005,,Clinical Laboratory,CATHEDRAL GERONTOLOGY CENTER,333 EAST ASHLEY STREET,,JACKSONVILLE,FL,32202,Duval,(904) 798-5300,333 EAST ASHLEY STREET,,JACKSONVILLE,FL,32202,Duval,FED CERTIFIED,,04/19/1996,,0,Not-For-Profit,
19965960,299993266,11/23/2022,11/22/2024,Home Health Agency,CDH HOME CARE INC,4738 NORWOOD AVENUE,,JACKSONVILLE,FL,32206,Duval,(904) 924-9200,PO BOX 9800,,JACKSONVILLE,FL,32208,Duval,LICENSED,CDH HOME CARE INC,03/25/2008,TERESA YVETTE HAYWOOD,0,For-Profit,www.cdhhomecare.com
27001035,,,,Clinical Laboratory,CENTER FOR A HEALTHY MIND AND WELLBEING LLC,6817 SOUTHPOINT PKWY STE 2402,,JACKSONVILLE,FL,32216,Duval,(904) 527-8777,6817 SOUTHPOINT PKWY STE 2402,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,,,0,,
27001110,,12/19/2022,,Clinical Laboratory,CENTER FOR AGING AND REHABILITATION OF JACKSONVILLE INC,5888 BLANDING BLVD,,JACKSONVILLE,FL,32244,Duval,(954) 367-4597,3550 POWERLINE RD,,OAKLAND PARK,FL,33309,Broward,FED CERTIFIED,,,,0,,
26931234,,04/29/2022,,Clinical Laboratory,CENTER FOR PREVENTION,921 NORTH DAVIS STREET BLDG A,STE 251,JACKSONVILLE,FL,32209-6804,Duval,(904) 253-2936,921 NORTH DAVIS STREET BLDG A,STE 251,JACKSONVILLE,FL,32209-6804,Duval,FED CERTIFIED,STATE OF FLORIDA DEPARTMENT OF HEALTH,12/29/2008,PAULINE ROLLE MD,0,Not-For-Profit,www.dchd.net
26997072,,12/31/2021,,Clinical Laboratory,CENTER ONE SURGERY CENTER,10475 CENTRURION PARKWAY NORTH,,JACKSONVILLE,FL,32256,Duval,(904) 854-9898,10475 CENTRURION PARKWAY NORTH,,JACKSONVILLE,FL,32256,Duval,FED CERTIFIED,,,,0,,
14960696,1278,12/31/2021,12/30/2023,Ambulatory Surgical Center,CENTERONE SURGERY CENTER,10475 CENTURION PARKWAY N STE 101,,JACKSONVILLE,FL,32256,Duval,(904) 652-2328,10475 CENTURION PARKWAY N STE 101,,JACKSONVILLE,FL,32256,Duval,LICENSED,THE SURGERY CENTER OF JACKSONVILLE LLC,05/02/2007,BEVERLY TEAGUE,0,For-Profit,centeronejax.com
19964034,299991566,09/01/2022,02/18/2024,Home Health Agency,CENTERWELL HOME HEALTH,10161 CENTURION PKWY NORTH STE 111,,JACKSONVILLE,FL,32256-0523,Duval,(904) 730-4640,6330 SPRINT PARKWAY SUITE 300,ATTN: LICENSING,JACKSONVILLE,FL,32256-0523,Duval,LICENSED,SENIOR HOME CARE INC,07/09/2001,KATHLEEN L CARRION,0,For-Profit,www.kindredathome.com
27010342,,12/14/2022,,Clinical Laboratory,CENTURION SURGERY CENTER OF JACKSONVILLE  LLC,5191 FIRST COAST TECH PARKWAY,1ST FLOOR,JACKSONVILLE,FL,32224,Duval,(904) 593-5146,5191 FIRST COAST TECH PARKWAY,1ST FLOOR,JACKSONVILLE,FL,32224,Duval,FED CERTIFIED,,07/08/2022,,0,,
27006876,,,,Clinical Laboratory,CENTURION TESTING SERVICE LLC,2116 PARK ST,,JACKSONVILLE,FL,32204,Duval,(904) 356-2288,2116 PARK STREET,,JACKSONVILLE,FL,32204,Duval,FED CERTIFIED,,,,0,,
26973550,,03/16/2022,,Clinical Laboratory,CENTURY AMBULANCE SERVICE INC,740 GREELAND AVE,,JACKSONVILLE,FL,32221,Duval,(904) 356-0835,740 GREELAND AVE,,JACKSONVILLE,FL,32221,Duval,FED CERTIFIED,,10/15/2001,,0,For-Profit,
6200,6545,09/29/2021,09/28/2023,Health Care Clinic Exemption,CHILD GUIDANCE CENTER,5776 STAINT AUGUSTINE RD,,JACKSONVILLE,FL,32207,Duval,(904) 448-4700,5776 SAINT AUGUSTINE RD,,JACKSONVILLE,FL,32207,Duval,EXEMP CERTIFIED,,04/26/2019,,0,For-Profit,
12350,11809,06/30/2022,06/29/2024,Health Care Clinic Exemption,CHILD GUIDANCE CENTER INC,4595 LEXINGTON AVE,,JACKSONVILLE,FL,32210,Duval,,5776 ST AUGUSTINE RD,,JACKSONVILLE,FL,32207,Duval,EXEMP CERTIFIED,,04/20/2015,,0,For-Profit,
12351,11810,06/30/2022,06/29/2024,Health Care Clinic Exemption,CHILD GUIDANCE CENTER INC,1110 EDGEWOOD AVE W,,JACKSONVILLE,FL,32208,Duval,,5776 ST AUGUSTINE RD,,JACKSONVILLE,FL,32207,Duval,EXEMP CERTIFIED,,04/20/2015,,0,For-Profit,
13230,12657,09/29/2022,09/28/2024,Health Care Clinic Exemption,CHILD GUIDANCE CENTER  INC,804 3RD ST STE C D,,NEPTUNE BEACH,FL,32266,Duval,(904) 448-4700,5776 ST AUGUSTINE RD,,JACKSONVILLE,FL,32207,Duval,EXEMP CERTIFIED,,08/11/2017,,0,Not-For-Profit,
26998148,,,,Clinical Laboratory,CHILDRENS HEALTH ASSOCIATES,5555 FT CAROLINE RD,,JACKSONVILLE,FL,32277,Duval,(904) 744-1839,5555 FT CAROLINE RD,,JACKSONVILLE,FL,32277,Duval,FED CERTIFIED,,,,0,,
26998162,,,,Clinical Laboratory,CHILDRENS HEALTH ASSOCIATES,1522 EMERSON ST,,JACKSONVILLE,FL,32207,Duval,(904) 396-3964,1522 EMERSON ST,,JACKSONVILLE,FL,32207,Duval,FED CERTIFIED,,,,0,,
27001735,,,,Clinical Laboratory,CHILDRENS HOME SOCIETY,3027 SAN DIEGO RD,,JACKSONVILLE,FL,32207,Duval,(904) 493-7727,3027 SAN DIEGO RD,,JACKSONVILLE,FL,32207,Duval,FED CERTIFIED,,,,0,,
19966963,299993991,12/04/2022,04/25/2024,Home Health Agency,CHOICE MATTERS HOME HEALTHCARE INC,4741 ATLANTIC BLVD STE D,,JACKSONVILLE,FL,32207,Duval,(904) 680-1256,4741 ATLANTIC BLVD,STE D,JACKSONVILLE,FL,32207,Duval,LICENSED,CHOICE MATTERS HOME HEALTHCARE INC,02/08/2012,CLAUDIA MAUREEN REID,0,For-Profit,www.choicemattershhc.com
26990628,,08/19/2019,,Clinical Laboratory,CHOICE MATTERS HOME HEALTHCARE INC,4741 ATLANTIC BLVD STE D,,JACKSONVILLE,FL,32207,Duval,(904) 680-1256,4741 ATLANTIC BLVD STE D,,JACKSONVILLE,FL,32207,Duval,FED CERTIFIED,,08/19/2019,,0,,
16201,15641,06/18/2021,06/17/2023,Health Care Clinic Exemption,CHRYSALIS HEALTH,2121 CORPORATE SQUARE BLVD,STE 124-125,JACKSONVILLE,FL,32216,Duval,(954) 587-1008,3800 W BROWARD BLVD #100,,FORT LAUDERDALE,FL,33312,Broward,EXEMP CERTIFIED,,06/18/2021,,0,For-Profit,
39972920,237613,05/19/2021,05/18/2023,Homemaker and Companion Service,CICI CARES LLC,11250 OLD ST AUGUSTINE RD STE 15 237,,JACKSONVILLE,FL,32257,Duval,(904) 413-3841,11250 OLD ST AUGUSTINE RD STE 15 237,,JACKSONVILLE,FL,32257,Duval,REGISTERED,CICI CARES LLC,04/13/2021,CISELY HIGHTOWER,0,For-Profit,
27000299,,,,Clinical Laboratory,CIPRIANO AND JOHNSON COUNSELING LLC,2520 ISABELLA BLVD SUITE 50,,JACKSONVILLE,FL,32250,Duval,(904) 372-4349,2520 ISABELLA BLVD SUITE 50,,JACKSONVILLE,FL,32250,Duval,FED CERTIFIED,,,,0,,
